welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,block number,block assignment,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
space,1.9939,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,space,50369.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.8492,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.6306,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.4814,,1,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.4437,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.427,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-06_15h59.02.581,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,1.0792,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
