participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,space,5.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,1.5981,,1,0,0,0,0,1,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5506,,1,0,1,1,1,1,2,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.2965,,1,0,2,2,2,1,3,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5916,,1,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.584,,1,0,4,4,4,1,5,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,1.1998,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.3724,,1,0,6,6,6,1,7,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.8492,,1,0,7,7,7,1,8,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5862,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5732,,1,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.9649,,0,0,10,10,10,1,11,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3586,,1,0,11,11,11,1,12,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.7172,,1,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.4417,,1,0,13,13,13,1,14,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.473,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3878,,1,0,15,15,15,1,16,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3843,,1,0,16,16,16,1,17,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3547,,1,0,17,17,17,1,18,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3942,,1,0,18,18,18,1,19,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.5462,,1,0,19,19,19,1,20,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,space,1.543,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,1,,,,,,,,,,,,right,0.6982,,0,1.5,8/21/23,0,0,0,0,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,2,,,,,,,,,,,,right,0.6418,,0,1,8/21/23,0,1,1,1,1,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,3,,,,,,,,,,,,right,0.4195,,0,0.5,8/21/23,0,2,2,2,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,4,,,,,,,,,,,,up,0.3674,,1,1,8/21/23,0,3,3,3,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,5,,,,,,,,,,,,up,0.2554,,1,1.5,8/21/23,0,4,4,4,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,6,,,,,,,,,,,,up,0.3158,,1,1.5,8/21/23,0,5,5,5,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,7,,,,,,,,,,,,up,0.2757,,1,1.5,8/21/23,0,6,6,6,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,2023-08-21_15h00.44.212,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,8,,,,,,,,,,,,up,0.3876,,1,0.5,8/21/23,0,7,7,7,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
