participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,space,30.1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.8921,,1,0,0,0,0,1,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.4189,,1,0,1,1,1,1,2,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.4422,,1,0,2,2,2,1,3,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,right,0.7048,,0,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.0202,,1,0,4,4,4,1,5,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.3727,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.2991,,1,0,6,6,6,1,7,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.238,,1,0,7,7,7,1,8,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
,2023-09-28_10h01.58.567,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.4256,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,
