welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,main_trial_keys,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,main_trial_rt,main_trial_duration,main_resp_corr,block_correct,block_correct.length,block_correct_all,reward_amount,date_end_task,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,239.2507,10,,,,,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,244.7657,11,,,,,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,250.2824,12,,,,,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,255.7845,13,,,,,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,261.2985,14,,,,,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,271.822,0,,,,,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,277.3314,1,,,,,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,282.8331,2,,,,,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,288.3481,3,,,,,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,293.8651,4,,,,,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ember,A,2024-05-08_15h25.30.183,Fish Game,2023.1.3,MacIntel,60.24096386,,,,299.3668,5,,,,,0,5,5,5,1,6,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
